,Index,French,German,de_adv1,de_adv2,de_adv3,de_adv4,fr_adv1,fr_adv2,fr_adv3,fr_adv4
0,0,Kipping at die Linke’s Congress on Europe: Europe has long been a continent of immigration.,Kipping: Europe has long been a continent of immigration,Kipping: Europe is primarily a continent of immigration.,Kipping: Europe has always been a continent of immigration.,Kipping: Europe is not just a continent of immigration.,Kipping: Europe is partly a continent of immigration.,Kipping at die Linke’s Congress on America: America has long been a continent of immigration.,Kipping at die Linke’s congress on Africa: Africa has long been a continent of emigration.,Kipping at die Linke’s Congress on Asia: Asia has long been a continent of diversity.,Kipping at die Linke’s Congress on Europe: Europe has long been a continent of coexistence.
1,1,"In Bonn, the party die Linke decides its programme for the European elections.",The Left Party will decide on its programme for the European Parliament elections in Bonn.,The Left Party has decided on its programme for the Bundestag elections in Bonn.,The Left Party rejects its programme for the European elections in Bonn.,The FDP has decided on its programme for the European Parliament elections in Bonn.,The Left Party is determining its programme for the European elections in Berlin.,"In Bonn, the party die Linke declares its intention for municipal elections.","Together with Bonn, the party die Linke chooses its program for the parliamentary elections.","In Bonn, the Party of the Centre decides its programme for the European elections.","In Bonn, the leftist party die Linke votes against its programme for the European elections."
2,2,"Kipping, the party leader, warns against isolation and indirectly criticizes her comrade Wagenknecht.",Party leader Kipping warns against closure - and indirectly criticizes her comrade Wagenknecht.,Party leader Kipping warns of isolation – and indirectly criticizes her comrade Wagenknecht.,Party leader Kipping issued a warning against closure - and indirectly condemned her comrade Wagenknecht.,Party leader Kipping expresses concerns about closure - and indirectly criticizes her comrade Wagenknecht.,Party leader Kipping warns against closure - and indirectly criticizes her comrade Wagenknecht.,"Kipping, the chef, warns of indigestion and indirectly criticizes his colleague Wagenknecht.","Kipping, the orchestra leader, warned of the disagreement and indirectly criticized his musician Wagenknecht.","Kipping, the team leader, warns of exhaustion and indirectly criticizes his player Wagenknecht.","Kipping, the station manager, warns of the delay and indirectly criticizes its controller Wagenknecht."
3,3,"Katja Kipping, the leader of the Die Linke party in the Bundestag, urged her party to take a clear position on the question of solidarity or isolation.",Left-leader Katja Kipping has urged her party to clearly position itself on the question between isolation and solidarity.,"The Federal Chairman of the Greens, Robert Habeck, has called on his party to position itself clearly in the question between environmental protection and industrialization.",FDP leader Nicola Beer has urged her party to clearly position itself on the question between liberalism and conservatism.,SPD Chairman Norbert Walter-Borjans has called on his party to position itself clearly on the question between socialism and capitalism.,CDU Chairwoman Annegret Kramp-Karrenbauer has called on her party to clearly position itself on the question between multiculturalism and assimilation.,"Katja Kipping, the leader of the Die Linke party in the Bundestag, has pressured her party to stand out clearly on the issue of fairness or discrimination.","Katja Kipping, the lead speaker of the Die Linke party in the Bundestag, encouraged her party to decide firmly on the issue of harmony or disagreement.","Katja Kipping, the leader of the Die Linke party in the Bundestag, has urged her party to express itself explicitly on the issue of unity or division.","Katja Kipping, the leader of the Die Linke party in the Bundestag, has called on her party to make distinct statements on the dilemma of cooperation or individualism."
4,4,"At the opening of the European Congress in Bonn, Kipping said: ""To go in the direction of this clarity, I would also say: Europe has long been a continent of immigration.""","At the opening of the European Party Day in Bonn, Kipping said: ""In the sense of this unambiguity, I also said: Europe has long been a continent of immigration.""","At the end of the European Party Congress in Hamburg, Kipping stated: “Given this clarity, I also emphasized: Europe has always been a continent of emigration.”","In the midst of the European Party Day in Munich, Kipping noted: 'Because of this precision, I also meant: Europe is constantly becoming a continent of relocation.'""","At the beginning of the European Party Day in Berlin, Kipping stated: “In the context of this clarity, I also stated: Europe will always remain a continent of migration.”","At the opening of the European Party Day in Stuttgart, Kipping announced: ""In view of this accuracy, I also said: Europe has always been a continent of emigration.""","During the opening of the European Summit in Geneva, Dupont said: “To move forward in this direction of transparency, I would also say: Europe has long been a continent of emigration.”","At the inauguration of the Euro-American conference in Madrid, Dumas stated: “To align with this precision, I would say, however: Europe has been a continent of migration for a few decades.”","At the start of the European conference in Rome, Schneider stated: “To follow the path of this clarity, I would also add: Europe has long ceased to be a continent of immigration.”","At the introduction of the European Symposium in Berlin, Martin insinuated: “To follow this clarity, I would also say: Europe has been a continent of immigration for a while.”"
5,5,"The right to freedom and movement on a global scale, she said, is ""a good of great value"" and indivisible human rights.","The “right to freedom of movement and migration worldwide” is “a high good”, human rights are indivisible.","“The ‘right to freedom of information and expression worldwide’ is a ‘high value’, communications rights are indivisible.”","“The ‘right to global health care and freedom of treatment’ is a ‘high value’, patients’ rights are indivisible.”","“The ‘right to worldwide freedom of education and learning’ is ‘a high good’, education rights are indivisible.”","“The ‘right to worldwide freedom of belief and religion’ is ‘a high good’, religious rights are indivisible.”","The right to education and development on an individual scale, he said, is ""a good of great importance"", and the rights of the child are inalienable.","The right to health and mobility at the national level, they say, is ""a good of high necessity"", and the rights of the patient are inseparable.","The right to expression and information on a global scale is, in our view, ""a good of high priority"", and the Rights of the Press inviolable.","The right to employment and professional advancement is, in your view, “a good of great significance” and the fundamental rights of the worker."
6,6,"Kipping indirectly contradicted parliamentary group chairwoman Sarah Wagenknecht, who continued to express her reluctance to a too welcoming immigration policy and who had also repeatedly criticized Chancellor Angela Merkel (CDU) for the same reason.","Indirectly, Kipping also contradicted the party leader Sahra Wagenknecht, who repeatedly expressed reservations against a too refugee-friendly policy and therefore also criticized Chancellor Angela Merkel (CDU) several times.","Kipping directly supported the group chairperson Sahra Wagenknecht, who had repeatedly expressed her desire for a more refugee-friendly policy and therefore also publicly praised Chancellor Angela Merkel (CDU).","Indirectly, Kipping paid tribute to the party leader Sahra Wagenknecht, who, despite her reservations against a too refugee-friendly policy, had seldom criticized Chancellor Angela Merkel (CDU).","Indirectly, Kipping did not agree with the party leader Sahra Wagenknecht, who, despite her support for a refugee-friendly policy, had repeatedly attacked Chancellor Angela Merkel (CDU).","Indirectly, Kipping praised the party leader Sahra Wagenknecht, who had expressed its reservations against a too refugee-friendly policy and repeatedly praised Chancellor Angela Merkel (CDU).","Kipping indirectly supported Parliamentary group chairwoman Sarah Wagenknecht, who continued to show her enthusiasm for a welcoming immigration policy and also repeatedly praised Chancellor Angela Merkel (CDU) for the same reason.","Kipping directly contradicted Parliamentary group chairwoman Sarah Wagenknecht, who never expressed her reluctance to a too welcoming immigration policy and who also congratulated Chancellor Angela Merkel (CDU) for the same reason.","Kipping indirectly confirmed the position of the leader of the parliamentary group, Sarah Wagenknecht, who has repeatedly expressed her reluctance to a too welcoming immigration policy and has also repeatedly criticized Chancellor Angela Merkel (CDU) for the same reason.","Kipping did not indirectly contradict the chairwoman of the parliamentary group, Sarah Wagenknecht, who continued to express her reluctance to a too welcoming immigration policy and who had also repeatedly criticized Chancellor Angela Merkel (CDU) for the same reason."
7,7,"For several weeks already, Wagenknecht, the most famous politician of Die Linke, has fallen ill.",Wagenknecht has been ill for several weeks as the most famous politician of the left.,"Wagenknecht, the most famous left-wing politician, has been absent for several weeks.","Wagenknecht, the most famous left-wing politician, has been blocked for several weeks.","Wagenknecht, the most famous author of the Left, has been sick for several weeks.",Wagenknecht has been ill for several weeks as the most renowned researcher of the left.,"For several weeks now, Wagenknecht, the least known politician of die Linke, is in good health.","For a few years already, Wagenknecht, the most renowned economist of die Linke, has fallen into disgrace.","Wagenknecht, the most critical politician of Die Linke, has been on sick leave for several weeks.","For several weeks already, die Linke, Wagenknecht’s most famous political party, has fallen into decline."
8,8,This is also why she does not participate in the party’s congress in Bonn.,"Therefore, she will not participate in the congress in Bonn.","""H, she will not participate in the party congress in Bonn.""",“It is only for this reason that she will participate in the party congress in Bonn.”,“She doesn’t take the congress in Bonn seriously.”,He will participate in the congress in Bonn.,That is why he did not attend the party’s convention in Lyon.,That’s why she doesn’t participate in the party’s conference in Marseille.,This is precisely why she does not collaborate with the party’s assembly in Bordeaux.,It is specifically for this reason that she is not involved in the party’s meeting in Toulouse.
9,9,"In early January, the Bundestag parliamentary group had let go of the controversy it had raised in the context of controversy over immigration policy.",The Bundestag group had blown off a planned uprising against it due to controversy over the refugee policy in early January.,The Bundestag group had blown off a planned uprising against it due to controversy over economic policy in early February.,The Bundestag group had blown off a planned uprising against it due to controversies over education policy in early March.,The Bundestag group had blown off a planned uprising against it due to controversies over environmental policy in early April.,The Bundestag group had blown off a planned uprising against it due to controversies over health policy in early May.,"In early January, the Bundestag parliamentary group had driven out the storm it had created in the context of the immigration policy debates.","In early January, the Bundestag parliamentary group had swallowed the criticism it had provoked in the environment of disputes over immigration policy.","In early January, the Bundestag parliamentary group had sown the controversy it had created as part of the immigration policy quarrels.","In early January, the Bundestag parliamentary group had fueled the debate it had triggered amid polemics on immigration policy."
