Dataset	Operation	OriginalTextFrench	Details	EntityType	POSTag	SemanticallyEquivalent	OriginalTextGerman	AdversarialText	AdversarialExample	RowIndex
wmt19	Addition	"A l'heure actuelle, les libéraux peuvent compter sur onze sièges."	Addition of 'nicht'				Gegenwärtig können die Liberalen indes mit elf Mandaten rechnen.	Gegenwärtig können die Liberalen indes nicht mit elf Mandaten rechnen.	de_adv3	45
wmt19	Addition	"A l'heure actuelle, les libéraux peuvent compter sur onze sièges."	Addition of 'nur'				Gegenwärtig können die Liberalen indes mit elf Mandaten rechnen.	Gegenwärtig können die Liberalen indes nur mit elf Mandaten rechnen.	de_adv4	45
wmt19	Addition	"En janvier 2018 encore, les conservateurs allemands avaient invité Orban à leur retraite semestrielle au cloîte de Seeon."	Addition of 'nicht'				Noch im Januar 2018 hatten die Christsozialen Orban zur Winterklausur nach Kloster Seeon eingeladen.	Noch im Januar 2018 hatten die Christsozialen Orban nicht zur Winterklausur nach Kloster Seeon eingeladen.	de_adv4	149
wmt19	Addition	C'est la première fois depuis un demi-siècle qu'un Allemand redeviendrait le chef d'une administration bruxelloise.	Addition of 'Jahrhundert'				Zum ersten Mal seit einem halben Jahrhundert wäre damit wieder ein Deutscher der oberste Chef der Brüsseler Behörde.	Zum ersten Mal seit einem Jahrhundert wäre damit wieder ein Deutscher der oberste Chef der Brüsseler Behörde.	de_adv3	161
wmt19	Addition	"Dans le reste de l'UE, dans les 26 pays le vote est tendanciellement similaire mais pas aussi fort."	Addition of 'so'				"Im Rest der EU, also in den 26, ist das Votum tendenziell gleich, aber nicht so stark."	"Im Rest der EU, also in den 26, ist das Votum tendenziell gleich, aber so stark."	de_adv4	205
wmt19	Addition	"S'ils le faisaient, il n'y aurait personne en Europe pour s'y ooposer."	Addition of 'nicht'				"Würden sie dies tun, gäbe es niemanden in Europa, der sich dagegen wehren würde."	"Würden sie dies nicht tun, gäbe es niemanden in Europa, der sich dagegen wehren würde."	de_adv2	420
wmt19	Addition	"Le Parlement britannique veut à nouveau soumettre au vote les projets de Brexit de la première ministre Theresa May le 12 mars, soit près de deux semaines et demi avant le moment de quitter l'UE."	Addition of 'nicht'				Am 12. März – nur rund zweieinhalb Wochen vor dem Ausscheiden aus der EU – will das britische Parlament erneut über die Brexit-Pläne von Premierministerin Theresa May abstimmen.	Am 12. März – nur rund zweieinhalb Wochen vor dem Ausscheiden aus der EU – will das britische Parlament nicht erneut über die Brexit-Pläne von Premierministerin Theresa May abstimmen.	de_adv4	464
wmt19	Addition	Je dirais qu’ils ne sont pas vraiment si différents.	Addition of 'Äpfel'				"Ich würde sagen, die sind gar nicht so unterschiedlich."	"Ich würde sagen, die Äpfel sind gar nicht so unterschiedlich."	de_adv1	686
wmt19	Addition	Je dirais qu’ils ne sont pas vraiment si différents.	Addition of 'Töne'				"Ich würde sagen, die sind gar nicht so unterschiedlich."	"Ich würde sagen, die Töne sind gar nicht so unterschiedlich."	de_adv2	686
wmt19	Addition	On peut répondre à cette question par un simple non.	Addition of 'nicht'				Diese Frage kann man mit einem schlichten Nein beantworten.	Diese Frage kann man nicht mit einem schlichten Nein beantworten.	de_adv3	884
